timestamp,target_flag,sensor_torque,sensor_rpm,act_target_torque,act_target_velocity,load_target_torque,load_target_velocity,act_torque,act_vel,act_pos,load_torque,load_vel,load_pos
20:49:57.873,0,0.9,0,0,0,0,0,48,-941,8343233,19,981,-55614876
20:49:57.878,0,0.9,0,0,0,0,0,17,422,8343242,1,-1925,-55614896
20:49:57.883,0,0.9,0,0,0,0,0,-81,-196,8343238,18,441,-55614876
20:49:57.888,0,0.9,0,0,0,0,0,6,189,8343241,18,411,-55614876
20:49:57.893,0,0.9,0,0,0,0,0,9,198,8343241,14,920,-55614876
20:49:57.898,0,0.9,0,0,0,0,0,0,779,8343245,20,988,-55614876
20:49:57.903,0,0.9,0,0,0,0,0,-7,380,8343242,-10,-1499,-55614896
20:49:57.908,0,0.9,0,0,0,0,0,-2,252,8343241,-2,-503,-55614892
20:49:57.913,0,0.9,0,0,0,0,0,-14,-894,8343233,5,-502,-55614896
20:49:57.918,0,0.9,0,0,0,0,0,0,419,8343242,-9,-264,-55614896
20:49:57.924,0,0.9,0,0,0,0,0,0,-257,8343238,-14,-1326,-55614904
20:49:57.929,0,0.9,0,0,0,0,0,15,245,8343241,10,331,-55614896
20:49:57.934,0,0.9,0,0,0,0,0,-8,939,8343245,-21,408,-55614896
20:49:57.939,0,0.9,0,0,0,0,0,-5,-814,8343234,17,-1544,-55614912
20:49:57.944,0,0.9,0,0,0,0,0,-14,435,8343242,-2,-574,-55614904
20:49:57.949,0,0.9,0,0,0,0,0,-11,-154,8343238,-22,140,-55614904
20:49:57.954,0,0.9,0,0,0,0,0,0,-1408,8343231,-4,-423,-55614904
20:49:57.959,0,0.9,0,0,0,0,0,-5,2178,8343254,-3,-502,-55614908
20:49:57.964,0,0.9,0,0,0,0,0,56,-999,8343233,-3,-472,-55614896
20:49:57.969,0,0.9,0,0,0,0,0,-23,-1470,8343238,-15,-288,-55614908
20:49:57.974,0,0.9,0,0,0,0,0,15,323,8343242,22,1262,-55614896
20:49:57.979,0,0.9,0,0,0,0,0,-5,236,8343241,-1,-468,-55614912
20:49:57.984,0,0.9,0,0,0,0,0,45,434,8343241,-5,-1033,-55614916
20:49:57.989,0,0.9,0,0,0,0,0,29,-1310,8343231,-29,-852,-55614924
20:49:57.994,0,0.9,0,0,0,0,0,-11,-1451,8343231,12,-1558,-55614932
20:49:58.000,0,0.9,0,0,0,0,0,12,321,8343241,-24,-1479,-55614940
20:49:58.005,0,0.9,0,0,0,0,0,24,423,8343242,-11,-951,-55614944
20:49:58.010,0,0.9,0,0,0,0,0,12,-155,8343238,-7,-10,-55614940
20:49:58.015,0,0.9,0,0,0,0,0,-35,-828,8343234,4,54,-55614940
20:49:58.020,0,0.9,0,0,0,0,0,-14,855,8343245,0,-282,-55614944
20:49:58.025,0,0.9,0,0,0,0,0,-2,-1044,8343233,4,-376,-55614944
20:49:58.030,0,0.9,0,0,0,0,0,-5,-171,8343238,-21,-335,-55614944
20:49:58.035,0,0.9,0,0,0,0,0,3,455,8343242,8,120,-55614940
20:49:58.040,0,0.9,0,0,0,0,0,-5,-1658,8343229,15,181,-55614940
20:49:58.045,0,0.9,0,0,0,0,0,-11,-976,8343233,-6,282,-55614932
20:49:58.050,0,0.9,0,0,0,0,0,-2,429,8343242,6,-346,-55614944
20:49:58.055,0,0.9,0,0,0,0,0,-14,1005,8343247,-12,174,-55614940
20:49:58.060,0,0.9,0,0,0,0,0,21,1029,8343247,3,151,-55614940
20:49:58.065,0,0.9,0,0,0,0,0,12,450,8343242,7,918,-55614932
20:49:58.070,0,0.9,0,0,0,0,0,-62,-1017,8343233,17,79,-55614940
20:49:58.076,0,0.9,0,0,0,0,0,-5,225,8343241,4,1931,-55614928
20:49:58.081,0,0.9,0,0,0,0,0,21,394,8343242,1,79,-55614940
20:49:58.086,0,0.9,0,0,0,0,0,-2,243,8343241,-5,130,-55614932
20:49:58.091,0,0.9,0,0,0,0,0,-17,-1061,8343233,-16,-23,-55614940
20:49:58.096,0,0.9,0,0,0,0,0,6,-1525,8343231,0,15,-55614940
20:49:58.101,0,0.9,0,0,0,0,0,-44,-273,8343238,15,-475,-55614944
20:49:58.106,0,0.9,0,0,0,0,0,-26,38,8343241,16,723,-55614932
20:49:58.111,0,0.9,0,0,0,0,0,-32,2126,8343254,-24,-671,-55614944
