timestamp,sensor_torque,sensor_rpm,act_target_torque,act_target_velocity,load_target_torque,load_target_velocity,act_torque,act_vel,act_pos,load_torque,load_vel,load_pos
23:09:37.311,0.0,0,0,0,0,0,39,0,0,19,0,0
23:09:37.321,0.0,0,0,0,0,0,16,0,0,-34,0,0
23:09:37.331,0.0,0,0,0,0,0,74,0,0,-81,0,0
23:09:37.341,0.0,0,0,0,0,0,-2,0,0,-63,0,0
23:09:37.351,0.0,0,0,0,0,0,50,0,0,50,0,0
23:09:37.362,0.0,0,0,0,0,0,10,0,0,-8,0,0
23:09:37.372,0.0,0,0,0,0,0,13,0,0,22,0,0
23:09:37.382,0.0,0,0,0,0,0,-34,0,0,32,0,0
23:09:37.392,0.0,0,0,0,0,0,-21,0,0,-23,0,0
23:09:37.402,0.0,0,0,0,0,0,-5,0,0,-12,0,0
23:09:37.412,0.0,0,0,0,0,0,35,0,0,-12,0,0
23:09:37.422,0.0,0,0,0,0,0,20,0,0,-2,0,0
23:09:37.433,0.0,0,0,0,0,0,23,0,0,-1,0,0
23:09:37.443,0.0,0,0,0,0,0,-34,0,0,-14,0,0
23:09:37.453,0.0,0,0,0,0,0,-15,0,0,-15,0,0
23:09:37.463,0.0,0,0,0,0,0,-16,0,0,-21,0,0
23:09:37.473,0.0,0,0,0,0,0,-34,0,0,-8,0,0
23:09:37.483,0.0,0,0,0,0,0,17,0,0,-7,0,0
23:09:37.493,0.0,0,0,0,0,0,0,0,0,-77,0,0
23:09:37.503,0.0,0,0,0,0,0,16,0,0,-87,0,0
23:09:37.514,0.0,0,0,0,0,0,-25,0,0,-30,0,0
23:09:37.524,0.0,0,0,0,0,0,-29,0,0,24,0,0
23:09:37.534,0.0,0,0,0,0,0,-34,0,0,-23,0,0
23:09:37.544,0.0,0,0,0,0,0,37,0,0,10,0,0
23:09:37.554,0.0,0,0,0,0,0,-54,0,0,5,0,0
23:09:37.564,0.0,0,0,0,0,0,0,0,0,-8,0,0
23:09:37.574,0.0,0,0,0,0,0,-8,0,0,6,0,0
23:09:37.584,0.0,0,0,0,0,0,-50,0,0,-28,0,0
23:09:37.594,0.0,0,0,0,0,0,-75,0,0,-67,0,0
23:09:37.605,0.0,0,0,0,0,0,11,0,0,30,0,0
23:09:37.615,0.0,0,0,0,0,0,39,0,0,39,0,0
23:09:37.625,0.0,0,0,0,0,0,34,0,0,-45,0,0
23:09:37.635,0.0,0,0,0,0,0,25,0,0,-72,0,0
23:09:37.645,0.0,0,0,0,0,0,-75,0,0,3,0,0
23:09:37.655,0.0,0,0,0,0,0,4,0,0,18,0,0
23:09:37.665,0.0,0,0,0,0,0,37,0,0,47,0,0
