timestamp,target_flag,sensor_torque,sensor_rpm,act_target_torque,act_target_velocity,load_target_torque,load_target_velocity,act_torque,act_vel,act_pos,load_torque,load_vel,load_pos
21:33:56.436,0,0.0,0,0,0,0,0,2,-1180,7222977,98,149,12617032
21:33:56.441,0,0.0,0,0,0,0,0,31,61,7222984,16,-1303,12617023
21:33:56.446,0,0.0,0,0,0,0,0,-12,482,7222987,60,-673,12617027
21:33:56.451,0,0.0,0,0,0,0,0,29,-636,7222980,15,-543,12617028
21:33:56.456,0,0.0,0,0,0,0,0,23,-1439,7222975,35,-744,12617027
21:33:56.461,0,0.0,0,0,0,0,0,20,518,7222987,13,-31,12617031
21:33:56.466,0,0.0,0,0,0,0,0,-29,119,7222984,-7,725,12617034
21:33:56.471,0,0.0,0,0,0,0,0,-39,-469,7222977,-18,-563,12617027
21:33:56.476,0,0.0,0,0,0,0,0,19,-674,7222973,5,285,12617032
21:33:56.481,0,0.0,0,0,0,0,0,-8,-510,7222972,-14,442,12617032
21:33:56.487,0,0.0,0,0,0,0,0,20,-1503,7222963,132,-336,12617027
21:33:56.492,0,0.0,0,0,0,0,0,-49,92,7222973,8,-1636,12617019
21:33:56.497,0,0.0,0,0,0,0,0,-14,-20,7222972,13,1023,12617034
21:33:56.502,0,0.01,0,0,0,0,0,14,82,7222972,14,-773,12617024
21:33:56.507,0,0.01,0,0,0,0,0,-21,23,7222972,-57,314,12617031
21:33:56.512,0,0.01,0,0,0,0,0,8,-576,7222968,-7,-410,12617027
21:33:56.517,0,0.01,0,0,0,0,0,2,-1098,7222963,10,842,12617034
21:33:56.522,0,0.01,0,0,0,0,0,11,216,7222972,-16,518,12617032
21:33:56.527,0,0.01,0,0,0,0,0,10,259,7222972,37,401,12617031
21:33:56.532,0,0.01,0,0,0,0,0,15,-231,7222968,0,274,12617031
21:33:56.537,0,0.01,0,0,0,0,0,-8,543,7222973,15,637,12617032
21:33:56.542,0,0.01,0,0,0,0,0,-11,-474,7222965,26,523,12617032
21:33:56.547,0,0.01,0,0,0,0,0,-36,363,7222968,-7,451,12617032
21:33:56.552,0,0.01,0,0,0,0,0,-18,769,7222972,4,-189,12617028
21:33:56.557,0,0.01,0,0,0,0,0,-8,281,7222968,86,550,12617032
21:33:56.563,0,0.01,0,0,0,0,0,18,-1132,7222959,35,-1466,12617019
21:33:56.568,0,0.01,0,0,0,0,0,12,-1510,7222956,17,1070,12617034
21:33:56.573,0,0.01,0,0,0,0,0,9,365,7222968,-1,-1963,12617017
21:33:56.578,0,0.01,0,0,0,0,0,-13,-176,7222963,-1,560,12617032
21:33:56.583,0,0.01,0,0,0,0,0,-41,-712,7222959,26,-816,12617023
