timestamp,target_flag,sensor_torque,sensor_rpm,act_target_torque,act_target_velocity,load_target_torque,load_target_velocity,act_torque,act_vel,act_pos,load_torque,load_vel,load_pos
21:27:16.305,0,0.1,0,0,0,0,0,21,1634,-8746587,-24,-560,-38523596
21:27:16.310,0,0.1,0,0,0,0,0,-7,953,-8746591,0,660,-38523588
21:27:16.315,0,0.1,0,0,0,0,0,13,341,-8746594,-18,1887,-38523584
21:27:16.320,0,0.1,0,0,0,0,0,12,182,-8746596,-22,682,-38523588
21:27:16.326,0,0.1,0,0,0,0,0,12,204,-8746596,-8,-376,-38523592
21:27:16.331,0,0.1,0,0,0,0,0,-15,2594,-8746580,-36,710,-38523588
21:27:16.336,0,0.1,0,0,0,0,0,114,-992,-8746603,4,94,-38523592
21:27:16.341,0,0.1,0,0,0,0,0,15,417,-8746594,-32,-555,-38523596
21:27:16.346,0,0.1,0,0,0,0,0,-62,710,-8746596,-21,-515,-38523592
21:27:16.351,0,0.1,0,0,0,0,0,30,323,-8746600,34,1155,-38523584
21:27:16.356,0,0.1,0,0,0,0,0,5,656,-8746600,14,-81,-38523592
21:27:16.361,0,0.1,0,0,0,0,0,11,-810,-8746610,2,564,-38523584
21:27:16.366,0,0.1,0,0,0,0,0,28,1840,-8746594,-3,59,-38523592
21:27:16.371,0,0.1,0,0,0,0,0,42,-666,-8746612,-10,1693,-38523584
21:27:16.376,0,0.1,0,0,0,0,0,-15,-529,-8746612,37,1007,-38523584
21:27:16.381,0,0.1,0,0,0,0,0,-5,-945,-8746619,-20,-1106,-38523604
21:27:16.386,0,0.1,0,0,0,0,0,-19,75,-8746610,31,-441,-38523592
21:27:16.391,0,0.1,0,0,0,0,0,-9,-976,-8746622,6,-944,-38523604
21:27:16.396,0,0.1,0,0,0,0,0,20,765,-8746612,-40,-204,-38523592
21:27:16.401,0,0.1,0,0,0,0,0,-14,1440,-8746608,-22,-103,-38523592
21:27:16.406,0,0.1,0,0,0,0,0,17,-794,-8746622,-20,-261,-38523596
21:27:16.411,0,0.1,0,0,0,0,0,-8,327,-8746615,21,-174,-38523592
21:27:16.417,0,0.1,0,0,0,0,0,32,842,-8746610,-20,-118,-38523592
21:27:16.422,0,0.1,0,0,0,0,0,18,1454,-8746608,9,1144,-38523584
21:27:16.427,0,0.1,0,0,0,0,0,2,720,-8746610,45,-40,-38523592
21:27:16.432,0,0.1,0,0,0,0,0,26,779,-8746610,23,-67,-38523592
21:27:16.437,0,0.1,0,0,0,0,0,-24,-310,-8746619,30,-689,-38523604
21:27:16.442,0,0.1,0,0,0,0,0,25,176,-8746615,-4,1193,-38523584
21:27:16.447,0,0.1,0,0,0,0,0,78,-485,-8746619,-12,1120,-38523584
21:27:16.452,0,0.1,0,0,0,0,0,6,-1561,-8746626,21,-579,-38523596
21:27:16.457,0,0.1,0,0,0,0,0,21,-35,-8746615,43,-417,-38523592
21:27:16.462,0,0.1,0,0,0,0,0,3,-1262,-8746624,-38,-832,-38523604
21:27:16.467,0,0.1,0,0,0,0,0,0,113,-8746615,-19,843,-38523588
21:27:16.472,0,0.1,0,0,0,0,0,6,193,-8746615,4,571,-38523588
21:27:16.477,0,0.1,0,0,0,0,0,14,-974,-8746624,26,-398,-38523592
21:27:16.482,0,0.1,0,0,0,0,0,-41,177,-8746615,16,355,-38523592
21:27:16.487,0,0.1,0,0,0,0,0,-5,1136,-8746610,-6,764,-38523588
21:27:16.492,0,0.1,0,0,0,0,0,18,406,-8746615,-3,-563,-38523596
21:27:16.497,0,0.1,0,0,0,0,0,-23,783,-8746612,-19,-882,-38523604
21:27:16.502,0,0.1,0,0,0,0,0,9,184,-8746615,49,-875,-38523604
21:27:16.508,0,0.1,0,0,0,0,0,18,972,-8746612,9,1528,-38523584
21:27:16.513,0,0.1,0,0,0,0,0,87,-1850,-8746631,-26,-455,-38523592
21:27:16.518,0,0.1,0,0,0,0,0,14,-475,-8746622,3,-931,-38523604
21:27:16.523,0,0.1,0,0,0,0,0,-47,696,-8746615,-24,-808,-38523604
21:27:16.528,0,0.1,0,0,0,0,0,-17,1633,-8746610,-8,-199,-38523592
21:27:16.533,0,0.1,0,0,0,0,0,0,948,-8746615,36,-1033,-38523604
21:27:16.538,0,0.1,0,0,0,0,0,2,-765,-8746626,-10,-660,-38523596
21:27:16.543,0,0.1,0,0,0,0,0,-5,-891,-8746628,-13,-677,-38523596
21:27:16.548,0,0.1,0,0,0,0,0,-33,1021,-8746615,0,-559,-38523592
21:27:16.553,0,0.1,0,0,0,0,0,-36,-94,-8746622,13,-652,-38523596
21:27:16.558,0,0.1,0,0,0,0,0,-7,1579,-8746610,12,-1021,-38523604
21:27:16.563,0,0.1,0,0,0,0,0,-4,-539,-8746624,21,-489,-38523592
21:27:16.568,0,0.1,0,0,0,0,0,-26,-309,-8746622,29,-1163,-38523604
21:27:16.573,0,0.1,0,0,0,0,0,-1,-206,-8746622,-22,620,-38523588
21:27:16.578,0,0.1,0,0,0,0,0,-1,-160,-8746622,-39,-1069,-38523604
21:27:16.584,0,0.1,0,0,0,0,0,10,938,-8746615,-24,-930,-38523604
21:27:16.589,0,0.1,0,0,0,0,0,-59,1175,-8746615,-10,804,-38523584
21:27:16.594,0,0.1,0,0,0,0,0,8,-867,-8746626,-5,-674,-38523596
21:27:16.599,0,0.1,0,0,0,0,0,-4,1706,-8746610,34,223,-38523592
21:27:16.604,0,0.1,0,0,0,0,0,21,1476,-8746612,-4,-216,-38523592
21:27:16.609,0,0.1,0,0,0,0,0,18,184,-8746619,-12,-129,-38523596
21:27:16.614,0,0.1,0,0,0,0,0,-23,834,-8746615,37,857,-38523588
21:27:16.619,0,0.1,0,0,0,0,0,22,851,-8746615,35,220,-38523592
