timestamp,target_flag,sensor_torque,sensor_rpm,act_target_torque,act_target_velocity,load_target_torque,load_target_velocity,act_torque,act_vel,act_pos,load_torque,load_vel,load_pos
21:01:05.356,0,-0.09,0,0,0,0,0,2,-1060,16924282,15,-1600,-64194348
21:01:05.362,0,-0.09,0,0,0,0,0,-3,-526,16924286,7,959,-64194332
21:01:05.367,0,-0.09,0,0,0,0,0,0,221,16924288,-34,990,-64194332
21:01:05.372,0,-0.09,0,0,0,0,0,-12,-1094,16924282,-13,-167,-64194332
21:01:05.377,0,-0.09,0,0,0,0,0,-1,871,16924292,-9,569,-64194332
21:01:05.382,0,-0.09,0,0,0,0,0,5,159,16924288,1,-1318,-64194340
21:01:05.387,0,-0.09,0,0,0,0,0,-12,-965,16924282,11,123,-64194332
21:01:05.392,0,-0.09,0,0,0,0,0,26,-623,16924286,-46,218,-64194332
21:01:05.397,0,-0.09,0,0,0,0,0,-4,1326,16924296,-15,-980,-64194348
21:01:05.402,0,-0.09,0,0,0,0,0,49,-973,16924282,57,-485,-64194340
21:01:05.407,0,-0.09,0,0,0,0,0,11,296,16924288,-21,-502,-64194348
21:01:05.412,0,-0.08,0,0,0,0,0,6,924,16924292,-4,-177,-64194340
21:01:05.417,0,-0.08,0,0,0,0,0,-7,1388,16924296,-22,-729,-64194352
21:01:05.422,0,-0.08,0,0,0,0,0,13,-961,16924282,8,986,-64194336
21:01:05.427,0,-0.08,0,0,0,0,0,13,1680,16924296,-18,-1012,-64194352
21:01:05.432,0,-0.08,0,0,0,0,0,-27,-968,16924282,-19,451,-64194340
21:01:05.437,0,-0.08,0,0,0,0,0,-3,203,16924288,12,-382,-64194348
21:01:05.443,0,-0.08,0,0,0,0,0,-1,209,16924288,18,-254,-64194340
21:01:05.448,0,-0.08,0,0,0,0,0,1,635,16924292,34,-358,-64194348
21:01:05.453,0,-0.08,0,0,0,0,0,-7,146,16924288,17,-344,-64194348
21:01:05.458,0,-0.08,0,0,0,0,0,-10,-1153,16924282,14,-782,-64194352
21:01:05.463,0,-0.08,0,0,0,0,0,-145,-1091,16924282,48,-658,-64194352
21:01:05.468,0,-0.08,0,0,0,0,0,0,720,16924292,6,556,-64194340
21:01:05.473,0,-0.08,0,0,0,0,0,-15,727,16924292,-19,-1045,-64194352
21:01:05.478,0,-0.08,0,0,0,0,0,-1,780,16924292,-1,-434,-64194352
21:01:05.488,0,-0.08,0,0,0,0,0,2,1437,16924296,40,-441,-64194352
21:01:05.493,0,-0.08,0,0,0,0,0,4,-1099,16924282,-13,-1823,-64194356
21:01:05.498,0,-0.08,0,0,0,0,0,0,639,16924292,-12,1225,-64194336
21:01:05.503,0,-0.08,0,0,0,0,0,1,639,16924292,8,238,-64194340
21:01:05.508,0,-0.08,0,0,0,0,0,-20,-500,16924286,-11,171,-64194340
