timestamp,act_target_torque,act_target_velocity,load_target_torque,load_target_velocity,efficiency_mean,efficiency_std
21:34:09.863,1000,0,0,0,-2.629543019828095,1.7960449139668613
21:34:31.331,1000,0,0,10000,-1.2876673294612382,0.05417510479263645
21:34:40.962,1000,0,0,20000,-1.0101212265152117,0.06043355697653751
21:34:53.080,1000,0,0,30000,-0.9403101567550797,0.05794863854720077
21:35:27.290,1000,0,0,40000,-0.9443187834418811,0.06482735729187575
21:35:44.906,1000,0,0,50000,-0.9457486437294528,0.07287599408947827
21:35:56.893,1000,0,0,60000,-0.9413084640056465,0.06907608966509973
21:36:12.414,1000,0,0,70000,-0.9390928190621785,0.07090788318894913
21:36:27.059,1000,0,0,80000,-0.9430159041435586,0.08330825377759235
21:36:39.310,1000,0,0,90000,-0.9399681903944096,0.09238310901469526
21:36:49.442,1000,0,0,100000,-0.9428953245314012,0.09678427642653305
21:37:08.950,1000,0,0,110000,-0.9373566117057958,0.12521526451262163
21:37:22.236,1000,0,0,120000,-0.931487157718044,0.12292111085499115
21:37:40.341,1000,0,0,130000,-0.935373865255447,0.09385587360044931
21:37:52.590,1000,0,0,140000,-0.9371252594967266,0.08310832177579448
21:38:06.732,1000,0,0,150000,-0.9380863190671211,0.08142993324846527
21:38:20.854,1000,0,0,160000,-0.9348390717890378,0.07255756078875014
21:38:30.884,1000,0,0,170000,-0.9356216354944946,0.07239734943712423
21:38:40.379,1000,0,0,180000,-0.9387798167119777,0.0878053738134432
21:38:49.648,1000,0,0,190000,-0.9359157114645147,0.08619553825450908
21:39:00.864,1000,0,0,200000,-0.9345815150612866,0.06618287432276514
21:39:12.638,1000,0,0,250000,-0.9306737156056043,0.053651790571562774
21:39:23.512,1000,0,0,300000,-0.9343243661580923,0.05548222630958284
21:39:34.102,1000,0,0,350000,-1.2037902862240855,1.1848516427936413
21:39:45.390,1000,0,0,400000,-1.0870949114184278,0.852400826601282
21:39:59.180,1000,0,0,450000,-0.9235083372947192,0.04897600412717714
