timestamp,target_flag,sensor_torque,sensor_rpm,act_target_torque,act_target_velocity,load_target_torque,load_target_velocity,act_torque,act_vel,act_pos,load_torque,load_vel,load_pos
15:32:42.017,0,0.0,0,0,0,0,0,-7,-336,12621004,11,-572,7206587
15:32:42.022,0,0.0,0,0,0,0,0,-10,240,12621008,48,1085,7206598
15:32:42.027,0,0.0,0,0,0,0,0,-5,-1188,12620999,16,667,7206594
15:32:42.032,0,0.0,0,0,0,0,0,14,-629,12621003,-67,-211,7206589
15:32:42.037,0,0.0,0,0,0,0,0,5,-723,12621003,16,460,7206594
15:32:42.042,0,0.0,0,0,0,0,0,1,-718,12621003,-13,-39,7206591
15:32:42.047,0,0.0,0,0,0,0,0,21,-448,12621004,-7,-189,7206589
15:32:42.052,0,0.0,0,0,0,0,0,1,193,12621008,-65,-670,7206587
15:32:42.057,0,0.0,0,0,0,0,0,5,-65,12621007,13,-222,7206589
15:32:42.062,0,0.0,0,0,0,0,0,10,-396,12621004,22,-23,7206591
15:32:42.067,0,0.0,0,0,0,0,0,13,-485,12621004,-53,-56,7206591
15:32:42.072,0,0.0,0,0,0,0,0,7,1805,12621018,-7,-624,7206587
15:32:42.078,0,0.0,0,0,0,0,0,-7,537,12621011,2,-195,7206589
15:32:42.083,0,0.0,0,0,0,0,0,-8,-91,12621007,-1,-150,7206587
15:32:42.088,0,0.0,0,0,0,0,0,12,-411,12621004,-66,1653,7206601
15:32:42.093,0,0.0,0,0,0,0,0,-1,-472,12621004,23,-176,7206589
15:32:42.098,0,0.0,0,0,0,0,0,6,272,12621008,-21,-677,7206587
15:32:42.103,0,0.0,0,0,0,0,0,-3,1266,12621014,39,-775,7206587
15:32:42.108,0,0.0,0,0,0,0,0,6,1223,12621014,5,-290,7206589
15:32:42.113,0,0.0,0,0,0,0,0,-1,1254,12621014,0,-335,7206589
15:32:42.118,0,0.0,0,0,0,0,0,-6,-439,12621004,-23,-318,7206589
15:32:42.123,0,0.0,0,0,0,0,0,9,-503,12621004,74,-354,7206589
15:32:42.128,0,0.0,0,0,0,0,0,4,-500,12621004,42,1076,7206598
15:32:42.133,0,0.0,0,0,0,0,0,5,153,12621008,16,-752,7206587
15:32:42.138,0,0.0,0,0,0,0,0,4,141,12621008,64,-304,7206589
15:32:42.143,0,0.0,0,0,0,0,0,16,164,12621008,55,-233,7206589
15:32:42.148,0,0.0,0,0,0,0,0,16,591,12621011,2,-728,7206587
15:32:42.153,0,0.0,0,0,0,0,0,6,-634,12621003,34,1568,7206601
15:32:42.158,0,0.0,0,0,0,0,0,8,-404,12621004,7,1569,7206601
15:32:42.163,0,0.0,0,0,0,0,0,4,-385,12621004,9,1380,7206601
15:32:42.169,0,0.0,0,0,0,0,0,-2,-560,12621003,-46,383,7206594
15:32:42.174,0,0.0,0,0,0,0,0,4,1905,12621018,-22,-305,7206589
15:32:42.179,0,0.0,0,0,0,0,0,-11,538,12621011,-74,322,7206594
15:32:42.184,0,0.0,0,0,0,0,0,-2,769,12621012,-57,-300,7206589
15:32:42.189,0,0.0,0,0,0,0,0,-2,1193,12621014,36,1629,7206601
15:32:42.194,0,0.0,0,0,0,0,0,-11,35,12621007,-51,-277,7206589
15:32:42.199,0,0.0,0,0,0,0,0,11,-333,12621004,-74,-412,7206589
15:32:42.204,0,0.0,0,0,0,0,0,-14,-386,12621004,-30,-964,7206586
